iter	F1	Logloss
0	0.7445956765	0.6902674907
1	0.750695825	0.6877819026
2	0.7490759754	0.6851327882
3	0.7431648716	0.6823949037
4	0.744645799	0.6798400393
5	0.7480476778	0.677044731
6	0.7488697082	0.6745387988
7	0.7434944238	0.6719891045
8	0.7464905037	0.6692492076
9	0.75	0.6666980728
10	0.7498969922	0.6640914014
11	0.7496907216	0.6616103142
12	0.7455523376	0.6592115488
13	0.7478332645	0.6574133116
14	0.7488659794	0.6551049477
15	0.7508196721	0.6529046294
16	0.7512315271	0.6508983261
17	0.7515400411	0.6490762746
18	0.7511275113	0.6466895364
19	0.7491776316	0.6448226324
20	0.7509263071	0.6431013361
21	0.748557296	0.6412061548
22	0.7486631016	0.6390656984
23	0.7493816983	0.6369123694
24	0.750102923	0.6349780868
25	0.7493816983	0.6334679198
26	0.7495881384	0.6314547034
27	0.7493816983	0.6295879908
28	0.750617284	0.6278711881
29	0.7505154639	0.6260027529
30	0.750102923	0.6243922143
31	0.748557296	0.6224164909
32	0.748557296	0.6205019688
33	0.748557296	0.6187791013
34	0.7482488669	0.6169986823
35	0.7491776316	0.6154590047
36	0.7486631016	0.6138096445
37	0.7490759754	0.6119812317
38	0.7501025851	0.6104350855
39	0.7496917386	0.6085561805
40	0.750513769	0.6070161482
41	0.7511312217	0.6053726628
42	0.7521578298	0.6037103688
43	0.7523613963	0.6021459265
44	0.7541118421	0.6004283905
45	0.7551355793	0.5990249977
46	0.7567789647	0.5974160467
47	0.7568675687	0.5961457989
48	0.7568675687	0.5947623834
49	0.756557377	0.5935333835
50	0.7568675687	0.5922138625
51	0.7550266721	0.5909244054
52	0.7558473533	0.5897683143
53	0.7558473533	0.5885381109
54	0.7561576355	0.5874766024
55	0.7564681725	0.5861923778
56	0.7569786535	0.5848584658
57	0.7570667759	0.5835096237
58	0.7574887156	0.5823911904
59	0.7572895277	0.5808448636
60	0.7570900123	0.5795109783
61	0.7577128754	0.5783218345
62	0.7582236842	0.5769304179
63	0.7555555556	0.5759930906
64	0.75751338	0.5746194205
65	0.7596707819	0.5734745851
66	0.759274526	0.572149792
67	0.7584501237	0.5710342929
68	0.7589616811	0.5699090936
69	0.7586490939	0.5688030379
70	0.7588477366	0.5677390299
71	0.7599507591	0.5665056933
72	0.7594417077	0.5654582439
73	0.7594417077	0.5642906845
74	0.7586206897	0.5633619139
75	0.758110883	0.5624236222
76	0.7586206897	0.5614266796
77	0.759130078	0.5606487146
78	0.7596390484	0.5595917081
79	0.7601476015	0.5584348569
80	0.7606557377	0.5575355214
81	0.7601476015	0.5567100838
82	0.7595247849	0.5557501983
83	0.7604593929	0.5549045386
84	0.7606557377	0.5538261517
85	0.7606557377	0.5527385336
86	0.7608517609	0.5516524701
87	0.7605403193	0.5506336875
88	0.7602291326	0.5496871173
89	0.7599182004	0.5487446598
90	0.7591836735	0.5477492073
91	0.7589869281	0.5468948692
92	0.7589869281	0.5459730196
93	0.7596075225	0.5449821476
94	0.7589869281	0.5442189734
95	0.7592970985	0.5432400643
96	0.7592970985	0.5424288725
97	0.7589869281	0.5417047515
98	0.7589869281	0.5408362132
99	0.7594936709	0.539987505
100	0.760505916	0.5390347245
101	0.7607011822	0.5382120017
102	0.7621379029	0.5374127598
103	0.7616326531	0.536658279
104	0.7621379029	0.5360406561
105	0.7624489796	0.5355045054
106	0.7629538964	0.5346184119
107	0.7626427406	0.5338669595
108	0.7615165104	0.5331366742
109	0.7608961303	0.5324881327
110	0.7610114192	0.5316413247
111	0.7621379029	0.5309523922
112	0.7615165104	0.530273654
113	0.7629538964	0.5294732857
114	0.7632653061	0.5287482982
115	0.7632653061	0.5280246178
116	0.7629538964	0.5272675238
117	0.7624489796	0.5265882581
118	0.7624489796	0.5259191637
119	0.7626427406	0.5251531325
120	0.7626427406	0.5245434789
121	0.7618270799	0.5240332789
122	0.7624489796	0.5234185791
123	0.7629538964	0.5227865852
124	0.7629538964	0.522097918
125	0.7630718954	0.5213609152
126	0.7627603103	0.5208217081
127	0.7624489796	0.5201525282
128	0.7626427406	0.5194714324
129	0.7631471667	0.5188906154
130	0.7640816327	0.5182571286
131	0.7637698898	0.517795127
132	0.7643936301	0.5170679084
133	0.7647058824	0.5164988896
134	0.7652102899	0.5158879751
135	0.7658357172	0.5153285795
136	0.7663398693	0.5146643586
137	0.7663398693	0.5139171192
138	0.7663398693	0.5133083197
139	0.7661488144	0.5127999106
140	0.7663398693	0.5122945687
141	0.7663398693	0.5117237457
142	0.7665306122	0.5112367921
143	0.7665306122	0.5107441237
144	0.7665306122	0.5103641987
145	0.7665306122	0.5099687567
146	0.7660961695	0.5095493669
147	0.766721044	0.5089934645
148	0.766721044	0.5084869117
149	0.7673469388	0.5079098627
150	0.7673469388	0.5073925776
151	0.7668436096	0.5068921489
152	0.7665306122	0.5064442637
153	0.7665306122	0.5060627312
154	0.7665306122	0.5055984813
155	0.7671568627	0.5050750914
156	0.7668436096	0.5045751155
157	0.7665306122	0.5042678132
158	0.7665306122	0.5037505757
159	0.7674703719	0.5033136772
160	0.7674703719	0.5029359637
161	0.7674703719	0.5024923744
162	0.7676602695	0.5020539468
163	0.7670338637	0.5016537686
164	0.7675367047	0.5013177279
165	0.7676602695	0.5008663115
166	0.7684769294	0.5005116847
167	0.7684769294	0.5001255191
168	0.7691050266	0.4996682823
169	0.7684769294	0.4993301763
170	0.7694194603	0.4989758658
171	0.7692935892	0.4985709495
172	0.7692935892	0.4981212778
173	0.7692935892	0.4977292714
174	0.7692935892	0.4972470678
175	0.7689795918	0.4967811276
176	0.7699223539	0.4963254864
177	0.7692935892	0.4958057393
178	0.7697959184	0.4954687459
179	0.7704248366	0.4950948305
180	0.7704248366	0.4948120376
181	0.7697959184	0.4944402195
182	0.7699223539	0.4940915147
