iter	Passed	Remaining
0	7	61385
1	16	66450
2	25	68240
3	34	69890
4	44	70408
5	52	69922
6	60	69139
7	68	68899
8	76	67941
9	85	68407
10	97	70603
11	109	72584
12	118	73051
13	126	72317
14	135	72059
15	144	72106
16	155	72867
17	165	73417
18	173	72887
19	179	71427
20	184	70143
21	189	68728
22	196	68222
23	203	67754
24	212	67788
25	222	68251
26	230	68100
27	236	67345
28	245	67567
29	253	67385
30	262	67567
31	271	67629
32	279	67585
33	289	67729
34	298	67835
35	309	68412
36	315	67794
37	320	67232
38	327	66904
39	334	66501
40	341	66289
41	350	66479
42	359	66607
43	369	66739
44	377	66712
45	385	66640
46	394	66691
47	402	66707
48	411	66711
49	419	66774
50	426	66516
51	435	66540
52	444	66643
53	455	67059
54	464	67143
55	473	67231
56	482	67299
57	491	67331
58	499	67256
59	508	67313
60	517	67400
61	525	67285
62	534	67337
63	543	67332
64	550	67223
65	558	67160
66	567	67186
67	576	67195
68	585	67279
69	593	67283
70	602	67289
71	608	66952
72	616	66923
73	624	66916
74	634	67070
75	641	66920
76	647	66624
77	653	66322
78	658	66010
79	667	66086
80	675	66025
81	682	65939
82	690	65839
83	699	65903
84	708	65955
85	717	66025
86	723	65838
87	732	65821
88	740	65844
89	748	65783
90	754	65589
91	763	65585
92	769	65415
93	776	65293
94	783	65193
95	791	65162
96	800	65227
97	809	65251
98	816	65193
99	823	65095
100	831	65011
101	839	64983
102	848	65040
103	855	64967
104	863	64929
105	872	65011
106	880	64934
107	887	64822
108	893	64667
109	900	64587
110	906	64431
111	912	64297
112	921	64290
113	927	64126
114	934	64092
115	942	64034
116	949	63942
117	958	64008
118	967	64065
119	973	63956
120	983	64059
121	990	63939
122	995	63731
123	1000	63564
124	1010	63691
125	1020	63799
126	1029	63813
127	1037	63824
128	1047	63904
129	1055	63886
130	1064	63925
131	1073	64003
132	1083	64095
133	1093	64217
134	1102	64257
135	1112	64318
136	1121	64363
137	1128	64314
138	1136	64278
139	1144	64263
140	1153	64302
141	1161	64281
142	1169	64268
143	1178	64285
144	1187	64341
145	1195	64309
146	1203	64267
147	1209	64193
148	1218	64222
149	1228	64267
150	1236	64293
151	1245	64283
152	1252	64262
153	1261	64265
154	1270	64304
155	1278	64277
156	1285	64231
157	1294	64225
158	1303	64301
159	1310	64214
160	1316	64075
161	1321	63929
162	1327	63848
163	1337	63912
164	1346	63936
165	1354	63937
166	1361	63881
167	1371	63924
168	1378	63872
169	1387	63927
170	1395	63876
171	1401	63801
172	1410	63815
173	1420	63912
174	1431	64005
175	1440	64027
176	1449	64073
177	1458	64074
178	1467	64114
179	1475	64088
180	1483	64091
181	1490	64034
182	1498	63994
183	1504	63905
184	1512	63877
185	1520	63893
186	1527	63830
187	1535	63802
188	1542	63759
189	1550	63732
190	1558	63722
191	1567	63732
192	1574	63692
193	1583	63702
194	1590	63667
195	1599	63666
196	1606	63646
197	1617	63754
198	1630	63920
199	1639	63952
200	1647	63922
201	1654	63860
202	1659	63742
203	1664	63618
204	1672	63593
205	1682	63646
206	1690	63627
207	1698	63623
208	1706	63615
209	1716	63670
210	1722	63576
211	1729	63533
212	1737	63506
213	1745	63517
214	1753	63507
215	1759	63409
216	1766	63355
217	1773	63293
218	1781	63301
219	1789	63299
220	1797	63267
221	1804	63226
222	1813	63245
223	1822	63252
224	1831	63279
225	1839	63262
226	1846	63235
227	1855	63249
228	1863	63234
229	1868	63136
230	1873	63000
231	1878	62902
232	1885	62869
233	1892	62809
234	1898	62742
235	1908	62777
236	1914	62721
237	1920	62622
238	1926	62553
239	1932	62490
240	1940	62460
241	1947	62440
242	1955	62432
243	1964	62436
244	1974	62510
245	1980	62426
246	1986	62340
247	1991	62249
248	1996	62163
249	2004	62142
250	2013	62160
251	2022	62180
252	2030	62183
253	2038	62175
254	2046	62165
255	2056	62198
256	2062	62131
257	2071	62158
258	2079	62164
259	2088	62174
260	2097	62195
261	2106	62205
262	2116	62262
263	2124	62259
264	2133	62288
265	2142	62293
266	2151	62309
267	2158	62269
268	2164	62218
269	2171	62172
270	2178	62123
271	2185	62085
272	2193	62071
273	2202	62100
274	2211	62114
275	2220	62147
276	2230	62176
277	2238	62164
278	2245	62152
279	2253	62123
280	2259	62057
281	2268	62079
282	2277	62094
283	2285	62094
284	2292	62049
285	2303	62127
286	2309	62061
287	2314	61978
288	2319	61889
289	2325	61824
290	2330	61739
291	2341	61800
292	2355	61967
293	2372	62186
294	2388	62375
295	2400	62476
296	2413	62601
297	2426	62720
298	2442	62914
299	2454	63002
300	2465	63056
301	2475	63097
302	2505	63638
303	2524	63898
304	2533	63907
305	2550	64117
306	2580	64654
307	2605	65081
308	2643	65805
309	2658	65946
310	2667	65950
311	2674	65914
312	2682	65877
313	2688	65808
314	2696	65775
315	2704	65752
316	2713	65764
317	2721	65735
318	2727	65673
319	2735	65659
320	2741	65585
321	2750	65590
322	2758	65561
323	2766	65543
324	2773	65501
325	2782	65502
326	2791	65508
327	2798	65467
328	2808	65475
329	2817	65476
330	2826	65490
331	2836	65508
332	2845	65505
333	2851	65450
334	2858	65394
335	2864	65348
336	2873	65338
337	2881	65320
338	2894	65420
339	2902	65391
340	2908	65321
341	2913	65243
342	2920	65189
343	2927	65158
344	2934	65110
345	2943	65119
346	2951	65092
347	2960	65098
348	2969	65101
349	2977	65089
350	2987	65093
351	2995	65091
352	3001	65030
353	3008	64969
354	3013	64892
355	3018	64814
356	3025	64776
357	3034	64768
358	3041	64727
359	3048	64695
360	3057	64693
361	3066	64698
362	3074	64689
363	3084	64697
364	3092	64688
365	3099	64657
366	3108	64655
367	3116	64639
368	3122	64584
369	3130	64547
370	3138	64527
371	3145	64501
372	3154	64499
373	3162	64486
374	3170	64458
375	3178	64440
376	3187	64448
377	3195	64443
378	3204	64431
379	3212	64420
380	3221	64418
381	3230	64417
382	3238	64410
383	3246	64383
384	3254	64369
385	3262	64352
386	3269	64318
387	3277	64292
388	3286	64292
389	3292	64253
390	3301	64242
391	3309	64232
392	3319	64249
393	3326	64224
394	3332	64169
395	3338	64109
396	3347	64099
397	3356	64102
398	3364	64095
399	3372	64075
400	3380	64067
401	3388	64053
402	3395	64006
403	3401	63961
404	3407	63904
405	3412	63836
406	3418	63783
407	3426	63766
