,index,player,position,team
0,1,Cade Cunningham,"PG,SG",DET
1,2,Evan Mobley,"PF,C",CLE
2,3,Scottie Barnes,"SF,PF",TOR
3,4,Herbert Jones,"SF,PF",NOP
4,5,Franz Wagner,"SG,SF,PF",ORL
5,6,Josh Giddey,"PG,SG,SF",OKL
6,7,Jalen Green,SG,HOU
7,8,Chris Duarte,"SG,SF",IND
8,9,Alperen Sengun,C,HOU
9,10,Isaiah Jackson,"PF,C",IND
10,11,Ayo Dosunmu,"PG,SG",CHI
11,12,Nah'Shon Hyland,"PG,SG",DEN
12,13,Jalen Suggs,"PG,SG",ORL
14,14,Isaiah Livers,SF,DET
15,15,Davion Mitchell,"PG,SG",SAC
16,16,Corey Kispert,"SG,SF",WAS
17,17,Jeremiah Robinson-Earl,"SF,PF,C",OKL
18,18,Tre Mann,"PG,SG",OKL
19,19,Kessler Edwards,"SF,PF",BRO
20,20,Josh Christopher,SG,HOU
21,21,Aaron Wiggins,"SG,SF,PF",OKL
22,22,Ziaire Williams,SF,MEM
23,23,Quentin Grimes,SG,NYK
24,24,Keon Johnson,SF,POR
25,25,Day'Ron Sharpe,"PF,C",BRO
26,26,Jonathan Kuminga,"SF,PF",GSW
28,27,Cameron Thomas,SG,BRO
29,28,Charles Bassey,C,PHI
30,29,Joshua Primo,SG,SAS
31,30,Trey Murphy,"SG,SF",NOP
32,31,Usman Garuba,PF,HOU
33,32,BJ Boston,SG,LAC
34,33,Greg Brown,PF,POR
35,34,Jericho Sims,C,NYK
36,35,Jaden Springer,SG,PHI
37,36,Sandro Mamukelashvili,"PF,C",MIL
38,37,Jared Butler,SG,UTA
39,38,Moses Moody,SF,GSW
40,39,Dalano Banton,SF,TOR
42,40,Luke Garza,C,DET
43,41,Neemias Queta,C,SAC
44,42,Santi Aldama,"PF,C",MEM
45,43,James Bouknight,SG,CHA
46,44,JT Thor,PF,CHA
47,45,Miles McBride,PG,NYK
48,46,Georgios Kalaitzakis,SF,MIL
49,47,Jalen Johnson,SF,ATL
50,48,Joe Wieskamp,SG,SAS
51,49,Isaiah Todd,PF,WAS
52,50,Scottie Lewis,SG,CHA
53,51,Kai Jones,C,CHA
54,52,Sharife Cooper,PG,ATL
