iter	Passed	Remaining
0	5	41314
1	9	37630
2	13	36918
3	18	36334
4	22	36044
5	26	35570
6	31	36254
7	36	36378
8	41	36647
9	45	36585
10	50	36655
11	54	36488
12	59	36353
13	64	36861
14	69	36919
15	73	36780
16	79	37380
17	85	37827
18	89	37665
19	94	37507
20	98	37412
21	102	37307
22	107	37282
23	112	37324
24	116	37288
25	121	37228
26	128	37858
27	134	38348
28	140	38740
29	148	39390
30	154	39656
31	160	39963
32	168	40646
33	174	40903
34	184	42091
35	202	44891
36	216	46559
37	229	48166
38	237	48569
39	247	49319
40	252	49034
41	257	48808
42	262	48647
43	268	48466
44	272	48255
45	277	48019
46	282	47731
47	286	47452
48	290	47207
49	295	47017
50	300	46767
51	304	46522
52	308	46292
53	313	46092
54	317	45875
55	321	45672
56	326	45460
57	330	45238
58	335	45185
59	340	45041
60	344	44887
61	349	44759
62	353	44593
63	358	44438
64	362	44284
65	367	44166
66	371	44044
67	376	43920
68	381	43820
69	385	43696
70	389	43547
71	394	43439
72	398	43311
73	404	43276
74	408	43170
75	412	43045
76	417	42919
77	422	42873
78	426	42781
79	431	42672
80	435	42590
81	440	42534
82	444	42439
83	449	42344
84	455	42425
85	461	42456
86	465	42374
87	471	42374
88	476	42313
89	480	42221
90	485	42228
91	490	42165
92	494	42065
93	499	41997
94	504	41994
95	509	41919
96	513	41833
97	517	41767
98	523	41791
99	527	41701
100	534	41768
101	544	42185
102	554	42516
103	567	43120
104	583	43850
105	596	44437
106	606	44717
107	619	45243
108	628	45522
109	640	45933
110	655	46552
111	663	46715
112	675	47144
113	686	47497
114	696	47747
115	720	48970
116	738	49748
117	744	49732
118	753	49887
119	758	49797
120	763	49691
121	773	49930
122	778	49854
123	788	50064
124	794	50026
125	803	50217
126	809	50166
127	814	50077
128	821	50135
129	826	50037
130	836	50270
131	841	50175
132	851	50374
133	856	50305
134	865	50407
135	870	50348
136	875	50244
137	886	50486
138	891	50430
139	901	50632
140	906	50537
141	916	50692
142	921	50631
143	928	50663
144	935	50700
145	940	50603
146	950	50783
147	956	50749
148	966	50943
149	973	50933
150	983	51107
151	988	51019
152	997	51148
153	1004	51172
154	1015	51377
155	1021	51364
156	1032	51581
157	1039	51597
158	1050	51784
159	1055	51719
160	1066	51906
161	1071	51838
162	1081	51993
163	1086	51908
164	1095	52033
165	1102	52052
166	1118	52476
167	1133	52835
168	1142	52919
169	1147	52872
170	1153	52825
171	1163	52944
172	1177	53286
173	1197	53861
174	1236	55281
175	1249	55562
176	1255	55468
177	1263	55527
178	1269	55455
179	1279	55584
180	1284	55474
181	1293	55584
182	1300	55532
183	1309	55633
184	1314	55535
185	1319	55432
186	1329	55533
187	1333	55423
188	1344	55560
189	1350	55497
190	1360	55605
191	1365	55531
192	1375	55649
193	1380	55566
194	1392	55724
195	1398	55692
196	1409	55848
197	1415	55776
198	1426	55902
199	1432	55854
200	1442	55953
201	1447	55884
202	1457	55963
203	1462	55873
204	1467	55805
205	1476	55871
206	1481	55786
207	1492	55898
208	1499	55891
209	1509	55984
210	1514	55890
211	1523	55982
212	1528	55897
213	1538	55987
214	1544	55918
215	1552	55948
216	1558	55882
217	1562	55788
218	1575	55962
219	1583	55999
220	1590	55982
221	1596	55920
222	1606	56010
223	1612	55975
224	1626	56217
225	1635	56261
226	1640	56188
227	1645	56103
228	1655	56177
229	1660	56108
230	1670	56183
231	1676	56120
232	1685	56196
233	1692	56155
234	1700	56192
235	1706	56129
236	1710	56035
237	1720	56123
238	1726	56054
239	1735	56128
240	1740	56044
241	1750	56104
242	1757	56089
243	1766	56161
244	1772	56107
245	1780	56111
246	1788	56151
247	1797	56194
248	1805	56189
249	1814	56253
250	1819	56174
251	1824	56094
252	1833	56139
253	1838	56073
254	1846	56085
255	1850	55992
256	1856	55936
257	1863	55926
258	1871	55923
259	1878	55917
260	1884	55875
261	1898	56073
262	1913	56303
263	1929	56541
264	1945	56782
265	1959	56963
266	1982	57426
267	2010	58004
268	2016	57960
269	2046	58577
270	2061	58802
271	2087	59309
272	2150	60855
273	2170	61191
274	2184	61378
275	2261	63300
276	2284	63696
277	2300	63900
278	2313	64031
279	2329	64219
280	2336	64169
281	2347	64245
282	2358	64306
283	2364	64240
284	2373	64261
285	2379	64186
286	2391	64257
287	2396	64172
288	2404	64148
289	2410	64081
290	2415	64002
291	2426	64060
292	2431	63970
293	2442	64032
294	2447	63935
295	2458	63979
296	2463	63883
297	2473	63921
298	2480	63895
299	2493	63988
300	2499	63942
301	2508	63930
302	2513	63852
303	2522	63871
